,Names,Prices,Ratings
95,"APPLE iPhone 11 (Red, 256 GB)",68999,4.6
96,"APPLE iPhone 11 (Yellow, 256 GB)",68999,4.6
97,APPLE iPhone 11 Pro Max (Space Grey,117100,4.7
98,APPLE iPhone 11 Pro (Midnight Green,140300,4.6
99,"APPLE iPhone 8 (Silver, 256 GB)",77000,4.5
100,"APPLE iPhone XS (Space Grey, 512 GB",134900,4.7
101,"APPLE iPhone XS (Gold, 512 GB)",134900,4.7
102,"APPLE iPhone 7 Plus (Black, 32 GB)",36999,4.5
103,"APPLE iPhone 8 (Gold, 256 GB)",77000,4.5
104,"APPLE iPhone 8 Plus (Gold, 64 GB)",49900,4.6
105,"APPLE iPhone 8 Plus (Space Grey, 64",49900,4.6
106,"APPLE iPhone 8 Plus (Space Grey, 25",84900,4.6
107,"APPLE iPhone 8 Plus (Silver, 256 GB",84900,4.6
108,"APPLE iPhone 8 (Space Grey, 256 GB)",77000,4.5
109,"APPLE iPhone 8 Plus (Silver, 64 GB)",49900,4.6
110,APPLE iPhone 11 Pro Max (Midnight G,117100,4.7
111,"Apple iPhone XR (Coral, 128 GB) (In",46999,4.6
112,"APPLE iPhone SE (Black, 64 GB)",32999,4.5
113,"Apple iPhone SE (White, 64 GB) (Inc",32999,4.5
114,"APPLE iPhone SE (Red, 64 GB)",32999,4.5
115,"Apple iPhone XR (Blue, 64 GB) (Incl",41999,4.6
116,"Apple iPhone XR (Coral, 64 GB) (Inc",41999,4.6
117,"APPLE iPhone XR (Yellow, 64 GB)",41999,4.6
118,"Apple iPhone 11 (White, 128 GB) (In",56999,4.6
119,"Apple iPhone SE (Red, 128 GB) (Incl",34999,4.5
120,"Apple iPhone XR (White, 64 GB) (Inc",41999,4.6
121,"Apple iPhone XR (Black, 64 GB) (Inc",41999,4.6
122,"Apple iPhone 11 (White, 64 GB) (Inc",51999,4.6
123,"APPLE iPhone XR (Blue, 64 GB)",41999,4.6
124,"Apple iPhone SE (Red, 256 GB) (Incl",47999,4.5
125,"Apple iPhone SE (White, 128 GB) (In",34999,4.5
126,"Apple iPhone 11 (Black, 64 GB) (Inc",51999,4.6
127,"APPLE iPhone 11 Pro Max (Silver, 64",117100,4.7
128,"Apple iPhone 11 (Red, 64 GB) (Inclu",51999,4.6
129,"APPLE iPhone 12 Pro Max (Gold, 512 ",155900,4.6
130,"Apple iPhone SE (Red, 64 GB) (Inclu",32999,4.5
131,"Apple iPhone SE (Black, 64 GB) (Inc",32999,4.5
132,"Apple iPhone 11 (Yellow, 128 GB) (I",56999,4.6
133,"APPLE iPhone SE (Black, 256 GB)",47999,4.5
134,"Apple iPhone 11 (Purple, 128 GB) (I",56999,4.6
135,APPLE iPhone 12 Pro Max (Pacific Bl,155900,4.6
136,"Apple iPhone XR (Blue, 256 GB) (Inc",91900,4.6
137,"Apple iPhone 11 (Yellow, 256 GB) (I",68999,4.6
138,"APPLE iPhone 8 (PRODUCT)RED (Red, 2",81500,4.7
139,"APPLE iPhone 11 Pro (Gold, 64 GB)",74999,4.6
140,"Apple iPhone 11 (Red, 256 GB) (Incl",68999,4.6
141,"Apple iPhone XR (Coral, 256 GB) (In",91900,4.6
142,"Apple iPhone 11 (Yellow, 64 GB) (In",51999,4.6
143,"APPLE iPhone 11 Pro (Space Grey, 51",140300,4.6
144,"APPLE iPhone SE (White, 256 GB)",47999,4.5
145,"Apple iPhone 11 (Purple, 64 GB) (In",51999,4.6
146,"Apple iPhone XR ((PRODUCT)RED, 256 ",91900,4.6
147,"Apple iPhone SE (Black, 128 GB) (In",34999,4.5
148,"Apple iPhone XR (White, 256 GB) (In",91900,4.6
149,"Apple iPhone 11 (Purple, 256 GB) (I",68999,4.6
150,"APPLE iPhone XR (Coral, 64 GB)",41999,4.6
151,"APPLE iPhone XS (Space Grey, 256 GB",76999,4.7
152,APPLE iPhone 11 Pro (Midnight Green,121300,4.6
153,"Apple iPhone 11 (Green, 128 GB) (In",56999,4.6
154,"Apple iPhone 11 (Red, 128 GB) (Incl",56999,4.6
155,"Apple iPhone 11 (Black, 128 GB) (In",56999,4.6
156,"Apple iPhone 11 (Black, 256 GB) (In",68999,4.6
157,"APPLE iPhone 11 Pro (Space Grey, 64",74999,4.6
158,"APPLE iPhone 11 Pro (Silver, 64 GB)",74999,4.6
159,"APPLE iPhone 11 Pro (Gold, 512 GB)",140300,4.6
160,"Apple iPhone 11 (White, 256 GB) (In",68999,4.6
161,"APPLE iPhone 11 Pro (Silver, 512 GB",140300,4.6
162,"APPLE iPhone 11 Pro Max (Silver, 25",131900,4.7
163,"APPLE iPhone 8 (PRODUCT)RED (Red, 6",38999,4.7
164,APPLE iPhone 11 Pro Max (Midnight G,131900,4.7
165,"APPLE iPhone 7 Plus (Silver, 32 GB)",36999,4.5
166,APPLE iPhone 8 Plus (PRODUCT)RED (R,49900,4.6
167,APPLE iPhone 11 Pro Max (Space Grey,131900,4.7
