,Names,Prices,Ratings
97,"OPPO A1K (Red, 32 GB)",8490,4.3
98,"OPPO A1K (Black, 32 GB)",7490,4.3
99,OPPO F3 Deepika Padukone Limited Ed,17000,4.4
100,"OPPO A83 (2018 Edition) (Blue, 64 G",15000,4.3
101,"OPPO F9 Pro (Starry Purple, 64 GB)",21150,4.5
102,"OPPO F1 Plus (Gold, 64 GB)",27500,4.0
103,"OPPO F15 (Blazing Blue, 128 GB)",18990,4.4
104,"OPPO F3 (Rose Gold, 64 GB)",18000,4.3
105,"OPPO A83 (Champagne, 16 GB)",11000,4.2
106,"OPPO K3 (Aurora Blue, 64 GB)",23990,4.3
107,"OPPO K1 (Piano Black, 64 GB)",15000,4.4
108,"OPPO A5s (Gold, 64 GB)",15726,4.4
109,"OPPO A5s (Black, 32 GB)",12990,4.3
110,"OPPO A5s (Red, 32 GB)",12990,4.3
111,"OPPO A5s (Red, 32 GB)",12990,4.4
112,"OPPO A5s (Black, 32 GB)",9490,4.4
113,"OPPO A5s (Blue, 32 GB)",13750,4.4
114,"OPPO A5 2020 (Dazzling White, 64 GB",12990,4.4
115,"OPPO A5 (Diamond Blue, 32 GB)",15000,4.4
116,"OPPO A37f (Grey, 16 GB)",10000,4.2
117,"OPPO A52 (Twilight Black, 128 GB)",16990,4.3
118,"OPPO A71 (Black, 16 GB)",12500,4.2
119,"OPPO A53 (Fairy White, 64 GB)",14499,4.5
