,Names,Prices,Ratings
94,"APPLE iPhone 11 Pro Max (Silver, 64",117100,4.7
95,"APPLE iPhone 12 Pro (Graphite, 512 ",139900,4.6
96,"APPLE iPhone 12 Pro (Gold, 256 GB)",119900,4.6
97,"APPLE iPhone XR (White, 128 GB)",52900,4.6
98,"APPLE iPhone 8 (Silver, 256 GB)",77000,4.5
99,"APPLE iPhone 8 Plus (Gold, 64 GB)",49900,4.6
100,"APPLE iPhone 7 Plus (Black, 32 GB)",36999,4.5
101,"APPLE iPhone 12 Mini (Green, 128 GB",54999,4.5
102,"APPLE iPhone 12 Mini (White, 128 GB",54999,4.5
103,"APPLE iPhone 12 Mini (Green, 64 GB)",49999,4.5
104,"APPLE iPhone 12 Mini (Red, 64 GB)",49999,4.5
105,"Apple iPhone 11 (White, 64 GB) (Inc",49900,4.6
106,"Apple iPhone SE (White, 128 GB) (In",34999,4.5
107,"APPLE iPhone 12 (Green, 64 GB)",59999,4.7
108,"Apple iPhone SE (White, 64 GB) (Inc",29999,4.5
109,"APPLE iPhone 12 (Black, 128 GB)",64799,4.7
110,"Apple iPhone SE (Red, 128 GB) (Incl",34999,4.5
111,"APPLE iPhone 13 Pro Max (Silver, 12",129900,4.7
112,"APPLE iPhone 12 (White, 64 GB)",59999,4.7
113,APPLE iPhone 13 Pro Max (Sierra Blu,139900,4.7
114,"APPLE iPhone 13 Pro Max (Gold, 1 TB",179900,4.7
115,"APPLE iPhone 13 Pro Max (Gold, 256 ",139900,4.7
116,"APPLE iPhone 11 (White, 64 GB)",49900,4.6
117,"APPLE iPhone 12 Pro (Graphite, 128 ",109900,4.6
118,"APPLE iPhone 12 (Green, 128 GB)",64999,4.7
119,"Apple iPhone 11 (Green, 64 GB) (Inc",49900,4.6
